epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.397,1.5052,3.22304,1.30356,0.00329,0.97701,0.51008,0.2734,1.24208,3.64491,1.11488,0.00036,0.00036,0.00036
2,237.868,1.4604,2.17151,1.24908,0.00337,1,0.11851,0.04907,1.35253,3.78749,1.2399,0.000725348,0.000725348,0.000725348
3,395.096,1.51683,1.90579,1.30006,0.88693,0.09033,0.3599,0.19417,1.34223,3.32831,1.24197,0.00107565,0.00107565,0.00107565
4,462.532,1.54194,1.79123,1.28537,0.63404,0.53771,0.53219,0.29167,1.44268,3.09114,1.34748,0.0014109,0.0014109,0.0014109
5,530.202,1.49295,1.6806,1.28431,0.30142,0.47126,0.21043,0.1048,1.6692,3.29077,1.51176,0.0017311,0.0017311,0.0017311
6,598.618,1.53194,1.62309,1.31574,0.82616,0.64368,0.67703,0.35362,1.64315,2.67495,1.40807,0.001802,0.001802,0.001802
7,722.002,1.50269,1.54701,1.30694,0.58457,0.5977,0.52831,0.28471,1.70773,2.62315,1.45904,0.0017624,0.0017624,0.0017624
8,784.53,1.51763,1.50633,1.30216,0.90499,0.76643,0.82824,0.48208,1.45097,1.6801,1.38888,0.0017228,0.0017228,0.0017228
9,847.332,1.53262,1.43091,1.32708,0.82633,0.76568,0.82707,0.44735,1.65362,1.73219,1.40068,0.0016832,0.0016832,0.0016832
10,909.964,1.48382,1.29687,1.25973,0.62016,0.78161,0.60465,0.31012,1.48136,1.87183,1.30168,0.0016436,0.0016436,0.0016436
11,974.967,1.34841,1.23329,1.22339,0.52499,0.75862,0.57576,0.29959,1.5675,2.19862,1.35352,0.001604,0.001604,0.001604
12,1042.63,1.42998,1.1757,1.24585,0.80287,0.89655,0.89609,0.49549,1.44634,1.599,1.26461,0.0015644,0.0015644,0.0015644
13,1106.77,1.47066,1.17871,1.27256,0.8541,0.87476,0.8935,0.50202,1.48684,1.36931,1.33391,0.0015248,0.0015248,0.0015248
14,1170.82,1.44812,1.13684,1.27732,0.78405,0.85057,0.76763,0.43386,1.51016,1.40422,1.32886,0.0014852,0.0014852,0.0014852
15,1235.42,1.43787,1.13085,1.28208,0.88996,0.82759,0.87386,0.46873,1.5615,1.38709,1.40692,0.0014456,0.0014456,0.0014456
16,1299.67,1.37163,1.04986,1.24024,0.8358,0.86207,0.88904,0.4969,1.45884,1.15525,1.32901,0.001406,0.001406,0.001406
17,1363.59,1.3697,1.02188,1.22378,0.86133,0.87356,0.8976,0.50169,1.43188,1.11314,1.27674,0.0013664,0.0013664,0.0013664
18,1427.01,1.3731,0.99956,1.23383,0.9402,0.77011,0.87473,0.50544,1.41148,1.20389,1.28668,0.0013268,0.0013268,0.0013268
19,1490.86,1.38137,1.025,1.23297,0.93577,0.87356,0.94435,0.5611,1.39666,1.0847,1.28055,0.0012872,0.0012872,0.0012872
20,1554.48,1.27906,0.936,1.17871,0.95548,0.82759,0.93938,0.56311,1.41547,0.85766,1.26163,0.0012476,0.0012476,0.0012476
21,1618.73,1.35737,0.95722,1.18625,0.89733,0.88506,0.94342,0.5453,1.44319,0.93455,1.28886,0.001208,0.001208,0.001208
22,1682.08,1.30698,0.90396,1.18217,0.95266,0.93103,0.96615,0.54181,1.41775,0.98683,1.30823,0.0011684,0.0011684,0.0011684
23,1745.37,1.33134,0.90732,1.1928,0.96981,0.91954,0.97413,0.57761,1.3962,0.82772,1.24489,0.0011288,0.0011288,0.0011288
24,1808.73,1.26133,0.87726,1.14321,0.91826,0.93103,0.95617,0.58353,1.37413,0.83997,1.26373,0.0010892,0.0010892,0.0010892
25,1876.58,1.23756,0.83461,1.1642,0.93757,0.89655,0.96751,0.56664,1.36593,0.83423,1.2478,0.0010496,0.0010496,0.0010496
26,1946.18,1.25437,0.85954,1.16305,0.95246,0.90805,0.95249,0.56256,1.40776,0.88807,1.25505,0.00101,0.00101,0.00101
27,2016.19,1.23919,0.83594,1.17244,0.92188,0.94955,0.96454,0.60317,1.32265,0.78617,1.21438,0.0009704,0.0009704,0.0009704
28,2085.78,1.1821,0.8219,1.12941,0.94903,0.85601,0.95885,0.57753,1.40846,0.81779,1.26894,0.0009308,0.0009308,0.0009308
29,2155.29,1.19424,0.8222,1.12943,0.9285,0.89565,0.9483,0.571,1.33094,0.83346,1.24434,0.0008912,0.0008912,0.0008912
30,2225.94,1.21966,0.79574,1.15382,0.98625,0.88506,0.96104,0.58298,1.42078,0.77424,1.26107,0.0008516,0.0008516,0.0008516
31,2295.7,1.21972,0.78034,1.13314,0.94939,0.91954,0.95483,0.58345,1.32644,0.77469,1.26355,0.000812,0.000812,0.000812
32,2365.41,1.15744,0.74172,1.11609,0.9654,0.93103,0.96292,0.59593,1.32057,0.759,1.23001,0.0007724,0.0007724,0.0007724
33,2435.15,1.16444,0.73845,1.10958,1,0.91433,0.9719,0.60341,1.27929,0.72685,1.22363,0.0007328,0.0007328,0.0007328
34,2504.77,1.13432,0.72017,1.11256,0.95262,0.92454,0.96048,0.59471,1.36618,0.72173,1.22632,0.0006932,0.0006932,0.0006932
35,2574.49,1.139,0.70956,1.10752,0.97108,0.93103,0.96735,0.57828,1.37374,0.72025,1.26491,0.0006536,0.0006536,0.0006536
