epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.998,1.5052,3.22304,1.30356,0.00348,0.97872,0.44551,0.22414,1.25467,3.78464,1.06397,0.00036,0.00036,0.00036
2,247.321,1.43161,2.06457,1.21403,0.00645,0.80658,0.38653,0.18411,1.29925,3.64779,1.1222,0.000725348,0.000725348,0.000725348
3,538.253,1.50166,1.90948,1.27883,0.66837,0.04299,0.32082,0.13675,1.34956,3.73116,1.19906,0.00107565,0.00107565,0.00107565
4,903.1,1.50609,1.82094,1.2589,0.93253,0.29426,0.47492,0.25134,1.5163,3.42317,1.40101,0.0014109,0.0014109,0.0014109
5,1266.32,1.57231,1.73916,1.30775,0.65958,0.38298,0.48077,0.24304,1.55455,2.71695,1.37621,0.0017311,0.0017311,0.0017311
6,1628.86,1.53898,1.61956,1.3149,0.45454,0.53191,0.38304,0.16957,1.6624,2.76452,1.4612,0.001802,0.001802,0.001802
7,1871.34,1.5075,1.56387,1.29059,0.35107,0.71372,0.37563,0.14597,1.62974,3.3322,1.41908,0.0017624,0.0017624,0.0017624
8,1958.92,1.53468,1.51706,1.27728,0.66698,0.68085,0.63772,0.3054,1.42465,2.91574,1.35156,0.0017228,0.0017228,0.0017228
9,2043.15,1.53237,1.47976,1.29531,0.68414,0.82951,0.82577,0.43069,1.52368,2.06422,1.3747,0.0016832,0.0016832,0.0016832
10,2126.98,1.42077,1.26494,1.21113,0.82878,0.80851,0.86177,0.43059,1.62875,1.53627,1.42038,0.0016436,0.0016436,0.0016436
11,2211,1.47318,1.2834,1.27448,0.83815,0.91489,0.90705,0.4778,1.48933,1.22637,1.28759,0.001604,0.001604,0.001604
12,2294.83,1.43802,1.18886,1.24986,0.78495,0.85432,0.8427,0.44451,1.52931,1.46532,1.37869,0.0015644,0.0015644,0.0015644
13,2379.41,1.4071,1.14109,1.26923,0.88414,0.87234,0.88987,0.51538,1.46718,1.20048,1.24742,0.0015248,0.0015248,0.0015248
14,2464.54,1.43116,1.10191,1.22804,0.96098,0.87234,0.89691,0.53407,1.30854,1.09551,1.14806,0.0014852,0.0014852,0.0014852
15,2549.05,1.42192,1.09983,1.22622,0.85456,0.87234,0.895,0.45188,1.53777,1.14638,1.26478,0.0014456,0.0014456,0.0014456
16,2633.84,1.39383,1.07364,1.22668,0.8473,0.91489,0.88817,0.49336,1.3995,1.24557,1.24688,0.001406,0.001406,0.001406
17,2719.21,1.36735,1.08204,1.22322,0.86487,0.85106,0.8566,0.46927,1.38577,1.17756,1.22963,0.0013664,0.0013664,0.0013664
18,2805.32,1.36816,1.03007,1.19472,0.88112,0.87234,0.86521,0.45225,1.40898,1.17168,1.2774,0.0013268,0.0013268,0.0013268
19,2890.65,1.3136,0.99358,1.15924,0.91485,0.85106,0.93238,0.55703,1.29968,0.9356,1.14545,0.0012872,0.0012872,0.0012872
20,2976.4,1.27833,0.90708,1.14814,0.90764,0.8365,0.90896,0.53965,1.35509,0.99428,1.19556,0.0012476,0.0012476,0.0012476
21,3061.31,1.34246,0.9748,1.17042,0.97657,0.88696,0.96666,0.49466,1.43867,0.96403,1.20541,0.001208,0.001208,0.001208
22,3148.16,1.32449,0.909,1.17454,0.85803,0.95745,0.94397,0.55433,1.40636,0.8301,1.20248,0.0011684,0.0011684,0.0011684
23,3234.98,1.30069,0.89991,1.16878,0.902,0.87234,0.90454,0.52584,1.41117,0.90065,1.16036,0.0011288,0.0011288,0.0011288
24,3318.8,1.27193,0.8886,1.15001,0.92861,0.89362,0.92029,0.53774,1.41629,0.80687,1.20499,0.0010892,0.0010892,0.0010892
25,3404.34,1.28162,0.85121,1.19245,0.86785,0.83846,0.88043,0.49698,1.46501,0.90281,1.22714,0.0010496,0.0010496,0.0010496
26,3489.35,1.2128,0.80935,1.1269,0.85161,0.8548,0.89441,0.50672,1.38866,0.87443,1.18999,0.00101,0.00101,0.00101
27,3574.27,1.24533,0.8226,1.14155,0.92372,0.82979,0.90101,0.53046,1.37042,0.82749,1.15196,0.0009704,0.0009704,0.0009704
28,3658.64,1.2475,0.8209,1.12421,0.91267,0.8895,0.92167,0.48849,1.42906,0.82507,1.2176,0.0009308,0.0009308,0.0009308
29,3743.71,1.21807,0.7939,1.12148,0.88351,0.89362,0.9428,0.55337,1.38345,0.79953,1.16256,0.0008912,0.0008912,0.0008912
30,3829.42,1.19381,0.78492,1.09964,0.93079,0.85858,0.94234,0.55379,1.38433,0.79399,1.20725,0.0008516,0.0008516,0.0008516
31,3914.2,1.2277,0.76927,1.14402,0.86974,0.89362,0.93044,0.56614,1.31476,0.7658,1.16913,0.000812,0.000812,0.000812
32,3999.08,1.15347,0.74347,1.09895,0.87845,0.93617,0.89947,0.53018,1.39588,0.78652,1.20402,0.0007724,0.0007724,0.0007724
33,4083.8,1.13127,0.74756,1.08933,0.92004,0.93617,0.93851,0.52889,1.43315,0.74642,1.24392,0.0007328,0.0007328,0.0007328
34,4169.34,1.14276,0.72839,1.08454,0.91078,0.93617,0.93908,0.52127,1.47602,0.73772,1.29717,0.0006932,0.0006932,0.0006932
35,4255.19,1.08231,0.71239,1.06797,0.91305,0.89372,0.94935,0.54146,1.34172,0.8016,1.2496,0.0006536,0.0006536,0.0006536
36,4340.59,1.15365,0.73136,1.09402,0.95545,0.91259,0.95186,0.5851,1.37721,0.71275,1.25311,0.000614,0.000614,0.000614
37,4569.55,1.08936,0.68067,1.08171,0.94723,0.91489,0.95606,0.561,1.36612,0.67726,1.22879,0.0005744,0.0005744,0.0005744
38,4753.82,1.13281,0.72028,1.0849,0.96073,0.89362,0.95172,0.55823,1.40407,0.68706,1.21131,0.0005348,0.0005348,0.0005348
