epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7594,0,111.848,0,0,0,0,0,0,183.342,0,0.00036,0.00036,0.00036
2,124.529,0,88.4883,0,0,0,0,0,0,164.278,0,0.000725348,0.000725348,0.000725348
3,184.079,0,74.7632,0,0,0,0,0,0,122.451,0,0.00107565,0.00107565,0.00107565
4,243.099,0,65.9794,0,0,0,0,0,0,87.6466,0,0.0014109,0.0014109,0.0014109
5,304.53,0,57.1774,0,0,0,0,0,0,61.975,0,0.0017311,0.0017311,0.0017311
6,371.903,0,50.5569,0,0,0,0,0,0,55.2146,0,0.001802,0.001802,0.001802
7,439.78,0,43.2002,0,0,0,0,0,0,48.5442,0,0.0017624,0.0017624,0.0017624
8,508.084,0,36.7309,0,0,0,0,0,0,44.7572,0,0.0017228,0.0017228,0.0017228
9,576.218,0,31.1437,0,0,0,0,0,0,375.822,0,0.0016832,0.0016832,0.0016832
10,644.132,0,26.1722,0,0,0,0,0,0,56.5327,0,0.0016436,0.0016436,0.0016436
11,712.395,0,21.8605,0,0,0,0,0,0,32.1779,0,0.001604,0.001604,0.001604
12,781.565,0,18.2053,0,0,0,0,0,0,26.95,0,0.0015644,0.0015644,0.0015644
13,849.484,0,15.3911,0,0,0,0,0,0,22.5987,0,0.0015248,0.0015248,0.0015248
14,917.487,0,12.7517,0,0,0,0,0,0,49.2363,0,0.0014852,0.0014852,0.0014852
15,986.423,0,10.5929,0,0,0,0,0,0,217.312,0,0.0014456,0.0014456,0.0014456
16,1054.88,0,8.81283,0,0,0,0,0,0,13.0331,0,0.001406,0.001406,0.001406
17,1123.61,0,7.30663,0,0,0,0,0,0,11.1004,0,0.0013664,0.0013664,0.0013664
18,1192.56,0,6.09169,0,0,0,0,0,0,9.04637,0,0.0013268,0.0013268,0.0013268
19,1261.19,0,5.05577,0,0,0,0,0,0,7.36088,0,0.0012872,0.0012872,0.0012872
20,1330.28,0,4.23441,0,0,0,0,0,0,5.97879,0,0.0012476,0.0012476,0.0012476
21,1399.02,0,3.5669,0,0,0,0,0,0,4.97016,0,0.001208,0.001208,0.001208
22,1468.83,0,2.99555,0,0,0,0,0,0,4.01786,0,0.0011684,0.0011684,0.0011684
23,1539.15,0,2.51429,0,0,0,0,0,0,3.43121,0,0.0011288,0.0011288,0.0011288
24,1609.94,0,2.13537,0,0,0,0,0,0,2.69169,0,0.0010892,0.0010892,0.0010892
25,1680.2,0,1.78185,0,0,0,0,0,0,2.36182,0,0.0010496,0.0010496,0.0010496
26,1749.75,0,1.4981,0,0,0,0,0,0,2.03668,0,0.00101,0.00101,0.00101
27,1819.43,0,1.26865,0,0,0,0,0,0,1.68754,0,0.0009704,0.0009704,0.0009704
28,1887.13,0,1.0725,0,0,0,0,0,0,1.42352,0,0.0009308,0.0009308,0.0009308
29,1955.58,0,0.90931,0,0,0,0,0,0,1.30526,0,0.0008912,0.0008912,0.0008912
30,2023.61,0,0.77175,0,0,0,0,0,0,1.08231,0,0.0008516,0.0008516,0.0008516
31,2165.3,0,0.66249,0,0,0,0,0,0,0.93,0,0.000812,0.000812,0.000812
32,2234.32,0,0.57546,0,0,0,0,0,0,0.8379,0,0.0007724,0.0007724,0.0007724
33,2302.05,0,0.49238,0,0,0,0,0,0,0.7306,0,0.0007328,0.0007328,0.0007328
34,2382.98,0,0.43857,0,0,0,0,0,0,0.67099,0,0.0006932,0.0006932,0.0006932
35,2480.58,0,0.38487,0,0,0,0,0,0,0.57236,0,0.0006536,0.0006536,0.0006536
36,2582.42,0,0.32559,0,0,0,0,0,0,0.4912,0,0.000614,0.000614,0.000614
37,2721.61,0,0.29981,0,0,0,0,0,0,0.45947,0,0.0005744,0.0005744,0.0005744
38,2895.2,0,0.27782,0,0,0,0,0,0,0.41964,0,0.0005348,0.0005348,0.0005348
39,3069.29,0,0.25162,0,0,0,0,0,0,0.36441,0,0.0004952,0.0004952,0.0004952
40,3216.28,0,0.21308,0,0,0,0,0,0,0.29414,0,0.0004556,0.0004556,0.0004556
41,3283.15,0,0.18458,0,0,0,0,0,0,0.28844,0,0.000416,0.000416,0.000416
42,3349.83,0,0.17565,0,0,0,0,0,0,0.26536,0,0.0003764,0.0003764,0.0003764
43,3417.97,0,0.16398,0,0,0,0,0,0,0.24882,0,0.0003368,0.0003368,0.0003368
44,3485.67,0,0.15798,0,0,0,0,0,0,0.24378,0,0.0002972,0.0002972,0.0002972
45,3552.81,0,0.15416,0,0,0,0,0,0,0.23974,0,0.0002576,0.0002576,0.0002576
46,3619.73,0,0.14879,0,0,0,0,0,0,0.23191,0,0.000218,0.000218,0.000218
47,3697.96,0,0.14234,0,0,0,0,0,0,0.21644,0,0.0001784,0.0001784,0.0001784
48,3765.7,0,0.13797,0,0,0,0,0,0,0.21414,0,0.0001388,0.0001388,0.0001388
49,3832.56,0,0.13493,0,0,0,0,0,0,0.21004,0,9.92e-05,9.92e-05,9.92e-05
50,3901.23,0,0.13412,0,0,0,0,0,0,0.20933,0,5.96e-05,5.96e-05,5.96e-05
